"Name","Short Name","ID","Units","Notes/Match with your variables"
"2 metre temperature","2t","167","K","\2_metre_temperature"
"2 metre dewpoint temperature","2d","168","K","\2_metre_dewpoint_temperature"
"10 metre U wind component","10u","165","m/s","\10_metre_u_wind_component"
"10 metre V wind component","10v","166","m/s","\10_metre_v_wind_component"
"100 metre U wind component","100u","180","m/s","\100_metre_u_wind_component"
"100 metre V wind component","100v","181","m/s","\100_metre_v_wind_component"
"Mean sea level pressure","msl","151","Pa","mean_sea_level_pressure"
"Total cloud cover","tcc","238","0-1 (fraction)","(not in your variables, common ECMWF parameter)"
"Total column water vapour","tcwv","182","kg/m²","(not in your variables)"
"Total column cloud liquid water","tclw","235","kg/m²","(not in your variables)"
"Total column cloud ice water","tciw","233","kg/m²","(not in your variables)"
"Sea-surface temperature","sst","193","K","skin_temperature (skin temp is close)"
"Sea-ice temperature","sit","234","K","(not provided)"
"Surface altitude","orog","156","m","(not in your variables)"
"Land area fraction","land","21","0-1 (fraction)","land-sea_mask (similar variable)"
"Total precipitation","tp","228","m","total_precipitation"
"Snowfall","sf","110","m (water equivalent)","(not in your variables)"
"Snow depth","sd","235","m","(not in your variables)"
"Snow cover","sfcc","45","0-1 (fraction)","(not in your variables)"
"Snow density","sd","111","kg/m³","(not in your variables)"
"2 metre maximum temperature","2tx","235","K","maximum_temperature_at_2_metres_in_the_last_3_hours"
"2 metre minimum temperature","2tn","236","K","minimum_temperature_at_2_metres_in_the_last_3_hours"
"10 metre wind gust","10fg","228","m/s","maximum_10_metre_wind_gust_since_previous_post-processing"
"Surface sensible heat flux","sshf","170","W/m²","(not in your variables)"
"Surface latent heat flux","slhf","171","W/m²","(not in your variables)"
"Surface solar radiation downwards","ssrd","172","J/m²","surface_short-wave_(solar)_radiation_downwards"
"Surface thermal radiation downwards","strd","173","J/m²","surface_long-wave_(thermal)_radiation_downwards"
"Surface net solar radiation","ssr","174","J/m²","surface_net_short-wave_(solar)_radiation"
"Surface net thermal radiation","str","175","J/m²","surface_net_long-wave_(thermal)_radiation"
"Top net solar radiation","tsr","176","W/m²","(not in your variables)"
"Top incoming solar radiation","tisr","177","W/m²","(not in your variables)"
"Top net thermal radiation","ttr","178","W/m²","(not in your variables)"
"Eastward turbulent surface stress","ets","237","N/m²","time-integrated_eastward_turbulent_surface_stress"
"Northward turbulent surface stress","nts","238","N/m²","time-integrated_northward_turbulent_surface_stress"
"Evaporation","e","30","m","(not in your variables)"
"Runoff","ro","29","m","runoff"
"Sea-ice cover","sice","228","0-1 (fraction)","(not in your variables)"
"Soil temperature","st","varies","K","(not in your variables)"
"Volumetric soil moisture","sm","varies","m³/m³","(not in your variables)"
"Orography / surface altitude","orog","156","m","(already included)"
"Land-sea mask","landsea","21","0-1 (fraction)","land-sea_mask"
"Sea surface height","ssh","193","m","sea_surface_height (assumed SSH)"
"Skin temperature","skt","235","K","skin_temperature"
"Precipitation type","ppt","???","Code table 4.201","precipitation_type (Code table - specific ECMWF code)"
"Total precipitation rate","tpr","???","kg m⁻² s⁻¹","total_precipitation_rate"
"Snow albedo","sal","???","0-1","snow_albedo (specific short name/ID not in common sets)"
"Surface pressure","sp","???","Pa","surface_pressure"
