"Short Name","Description","Units","Comments"
"time","Initial time of forecast","seconds since 1970-01-01 (proleptic Gregorian)","Forecast reference time"
"step","Time since forecast reference time","hours","Forecast period"
"surface","Original GRIB coordinate for level (surface)","1 (unitless)","Level indicator, corresponds to surface"
"latitude","Latitude","degrees north","Grid latitude points"
"longitude","Longitude","degrees east","Grid longitude points"
"valid_time","Time","seconds since 1970-01-01 (proleptic Gregorian)","Valid forecast time"
"swh","Significant height of combined wind waves and swell","meters","Combined significant wave height"
"perpw","Primary wave mean period","seconds","Period of primary wave component"
"dirpw","Primary wave direction","Degree true","Direction from which primary wave comes"
"shww","Significant height of wind waves","meters","Wind-generated waves significant height"
"mpww","Mean period of wind waves","seconds","Period of wind wave component"
"wvdir","Direction of wind waves","Degree true","Direction from which wind waves come"
"ws","Wind speed","m s⁻¹","Wind speed at surface"
"wdir","Wind direction","Degree true","Wind blowing direction"
"shts","Significant height of total swell","meters","Combined swell wave significant height"
"mpts","Mean period of total swell","seconds","Period of total swell waves"
